Name,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
CHICAGO,3.7020000000000004,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.8320000000000003,8.555,7.999,6.8045,6.5145,4.062,6.599499999999999,8.193,6.1339999999999995,5.4155
SF,9.0165,7.822,2.857500000000001,0.0,0.8900000000000001,4.789250000000001,3.021333333333333,6.968999999999999,5.324,0.0,4.1762500000000005,3.8855,7.513999999999999,3.4815,4.8015,8.826499999999998,5.499999999999999
NY,1.0,2.342,10.0,10.0,6.675,5.5192499999999995,8.671,7.022,8.501666666666665,8.0935,5.233749999999999,6.5145,3.9205,7.0985,10.0,6.7125,5.7475
MIAMI,3.0309999999999997,4.497,8.0225,5.055,4.1690000000000005,4.0527500000000005,8.671,4.321,8.528999999999998,4.3945,6.292,6.5145,4.772,5.824,6.7675,6.043500000000001,5.3845
GDL,6.414000000000001,6.2490000000000006,0.0,4.79,5.8555,5.285750000000001,7.1196666666666655,7.7925,8.628333333333332,4.291500000000001,5.5655,4.296,3.894000000000001,6.241,9.338,7.665000000000001,6.22
VAN,4.138,4.924,6.957,5.899,2.2405,4.9079999999999995,8.671,5.1805,8.596666666666666,4.2155,8.4595,6.5145,3.9205,5.968500000000001,6.2195,8.1595,6.303999999999999
MONTR,7.392000000000001,5.948,8.102500000000001,5.773000000000001,3.443,5.107,8.966,7.822,8.325666666666667,7.299000000000001,7.7215,5.8405000000000005,7.2745000000000015,4.478000000000001,6.9174999999999995,8.193,5.303
QUEBEC,7.392000000000001,5.948,8.102500000000001,5.773000000000001,3.443,5.107,8.966,7.822,8.325666666666667,7.299000000000001,7.7215,5.8405000000000005,7.2745000000000015,4.478000000000001,6.9174999999999995,8.193,5.303
CDMX,8.360000000000001,9.244,7.479999999999999,2.6340000000000003,2.87,3.806,5.760999999999998,5.464000000000001,5.789666666666666,1.713,2.5062500000000005,3.5005,4.333500000000001,5.8405000000000005,9.962,7.089,3.914
SD,2.9335,5.156000000000001,8.3505,8.595,2.6220000000000003,4.40975,8.671,6.933,8.767666666666665,5.4575,7.26725,6.5145,4.488,5.999,8.21,8.5395,6.396000000000002
